顾客编号,1月消费金额,2月消费金额,3月消费金额,4月消费金额,1月消费天数,2月消费天数,3月消费天数,4月消费天数
615,51.66,18.7,9.1,15.8,2,1,2,1
616,100.1,119.78,0,0,2,2,0,0
617,90.42,25.62,0,76.66,5,2,0,7
618,28.66,0,0,0,2,0,0,0
619,159.5,277.72,410.87,73.7,4,4,6,2
620,133.01,0,85.52,0,4,0,5,0
621,237.99,110.53,51.92,0,7,2,2,0
622,132.9,0,0,98.7,1,0,0,1
623,19.62,0,41.1,10.57,1,0,1,1
624,27.25,0,37.34,0,1,0,1,0
625,111.25,0,62.49,0,2,0,1,0
626,26.96,187.65,144.13,77.78,1,4,2,1
627,36.38,196.39,16.09,98.07,2,2,3,5
628,261.6,299.1,0,0,2,1,0,0
629,50.72,0,291.1,0,2,0,1,0
630,117,57.2,0,0,2,1,0,0
631,16.86,0,0,0,1,0,0,0
632,28.1,0,0,0,1,0,0,0
633,18.5,0,0,0,1,0,0,0
634,133.06,35.54,0,0,2,1,0,0
635,176.4,0,0,0,2,0,0,0
636,54.1,0,149.4,131.21,1,0,1,1
637,90.62,0,68.05,103.87,4,0,3,4
638,8.8,0,0,0,1,0,0,0
639,35.5,0,0,0,1,0,0,0
640,43.66,0,56.26,30.3,2,0,3,2
641,14.8,0,0,0,1,0,0,0
642,126.01,65.4,151.1,128.49,3,2,3,3
643,31.77,0,0,0,2,0,0,0
644,108.41,4.44,76.63,173.19,4,1,5,7
645,7.2,95.3,0,5.5,1,1,0,2
646,27.6,113.74,29.14,62.1,1,2,1,1
647,94.22,31.9,0,21.19,1,1,0,1
648,27.76,0,0,0,1,0,0,0
649,14.01,0,0,0,1,0,0,0
650,17.35,0,52.07,52.12,1,0,2,3
651,31.52,70.54,188.54,0,1,2,3,0
652,24.3,0,0,0,1,0,0,0
653,18.9,0,0,0,1,0,0,0
654,9.9,477.5,0,0,1,2,0,0
655,22.9,0,0,0,1,0,0,0
656,118.06,0,40.28,0,2,0,1,0
657,11.97,0,0,183.19,1,0,0,2
658,246.77,16.4,75.53,128.53,4,1,2,2
659,64.32,0,0,25.81,1,0,0,1
660,108.38,290.28,0,0,1,1,0,0
661,32.06,83.92,9.81,63.64,2,2,1,4
662,171.59,0,0,0,3,0,0,0
663,16.69,0,0,0,1,0,0,0
664,19.5,0,41.4,149.67,1,0,1,1
665,98.6,58.8,0,10.9,2,1,0,1
666,109.26,432.2,240.56,159.29,5,8,3,5
667,144.7,0,0,0,2,0,0,0
668,48.25,9.96,45.71,0,2,1,1,0
669,188.83,0,0,156.48,4,0,0,1
670,209.46,37.6,0,0,3,1,0,0
671,31.9,15.6,0,0,1,1,0,0
672,100.09,0,0,0,1,0,0,0
673,117.16,0,26.9,38.68,2,0,1,1
674,148.8,0,0,0,1,0,0,0
675,89.14,277.96,0,46.93,3,6,0,1
676,76.68,9.7,30.95,61.08,2,1,1,1
677,274.02,355.57,5.3,30.68,3,4,1,1
678,72.35,0,0,21.14,1,0,0,1
679,14.49,0,0,31.3,1,0,0,1
680,39.7,61.7,0,0,1,1,0,0
681,82.08,7.68,0,0,3,1,0,0
682,162.87,48.45,484.55,35.21,3,2,7,1
683,30.55,6.81,13.72,27.6,1,1,1,2
684,57.6,164.42,59.6,31.44,3,3,1,2
685,24.9,0,0,0,1,0,0,0
686,68.92,0,0,0,1,0,0,0
687,90.91,296.1,0,0,4,2,0,0
688,73.8,0,0,0,1,0,0,0
689,61.34,0,53.52,155.27,5,0,5,8
690,56.7,0,0,0,1,0,0,0
691,72.25,0,0,0,1,0,0,0
692,19.65,0,0,0,1,0,0,0
693,61.2,24.8,12.84,0,1,1,1,0
694,24.62,0,0,9.9,1,0,0,1
695,19.9,0,0,0,1,0,0,0
696,48.96,0,0,0,2,0,0,0
697,88.29,0,78.5,45.5,2,0,2,1
698,115.76,148.37,294.44,76.06,2,3,5,2
699,72,0,0,0,1,0,0,0
700,94.81,0,0,0,1,0,0,0
701,12.9,0,34.8,0,1,0,1,0
702,49.29,0,0,0,2,0,0,0
703,11.17,0,0,0,1,0,0,0
704,65.9,0,14.6,46.33,1,0,1,2
705,55.68,0,0,0,1,0,0,0
706,52.72,203.41,0,129.07,2,2,0,3
707,3.3,0,0,0,1,0,0,0
708,59.61,0,0,0,1,0,0,0
709,85.92,0,0,0,1,0,0,0
710,90.2,0,0,0,1,0,0,0
711,208.03,0,0,0,2,0,0,0
712,53,0,0,50.35,1,0,0,1
713,54.01,0,0,29.53,2,0,0,1
714,10,12.63,0,0,1,1,0,0
715,26.7,0,0,0,1,0,0,0
716,57.5,689.45,0,65,1,6,0,1
717,52.4,0,0,0,1,0,0,0
718,89.55,48.9,309.59,15.3,4,2,2,1
719,32.6,0,0,108.52,2,0,0,2
720,23.4,0,0,0,1,0,0,0
721,77.89,0,0,43.62,2,0,0,2
722,66.81,34.91,19.13,0,2,2,1,0
723,81.27,0,0,0,4,0,0,0
724,100.94,0,0,0,1,0,0,0
725,24.32,0,0,0,1,0,0,0
726,41.9,309.12,0,0,1,5,0,0
727,45.85,0,0,28.13,2,0,0,1
728,28.9,0,0,46.9,1,0,0,1
729,104.6,284.53,31.7,153.2,5,5,2,6
730,174.7,0,274.59,398.07,3,0,5,6
731,7.01,41.04,30.01,33.75,2,4,3,4
732,162.24,34.57,55.17,253.03,3,1,2,3
733,94.64,103.91,107.38,154.46,2,4,2,2
734,21.79,0,0,0,1,0,0,0
735,51.24,0,0,0,2,0,0,0
736,88.65,36.7,81.97,47,2,1,2,1
737,113.79,0,0,0,2,0,0,0
738,46.61,27,16,0,2,1,1,0
739,25.8,308.43,0,0,2,1,0,0
740,6,79.81,21.43,95.32,1,1,1,3
741,54.41,41.09,0,16.48,2,1,0,1
742,53.03,0,0,0,2,0,0,0
743,56.4,18.9,0,0,1,1,0,0
744,21.77,0,0,0,1,0,0,0
745,232.8,111.73,0,188.49,4,2,0,2
746,677.32,0,0,90.55,2,0,0,1
747,118.9,0,0,0,1,0,0,0
748,33.8,128.8,0,52.4,1,2,0,2
749,118.48,0,0,0,3,0,0,0
750,176.39,67.47,0,51.52,4,2,0,2
751,45.12,0,0,223,1,0,0,2
752,117.54,208.06,177.1,119.89,2,3,3,4
753,35.79,20.23,0,79.59,1,1,0,1
754,73.01,19.86,0,148.77,3,1,0,2
755,53.95,0,65.04,42.6,1,0,1,1
756,131.67,0,0,0,2,0,0,0
757,38.95,31.62,41.32,0,1,1,1,0
758,291.04,308.24,284.27,162.38,4,4,4,2
759,35.1,0,0,44.5,1,0,0,1
760,23.83,0,0,0,1,0,0,0
761,14.55,51.9,321.93,66.3,1,1,6,4
762,8.78,0,0,0,1,0,0,0
763,125.55,227.77,225.39,195.43,2,1,4,3
764,50.1,0,0,56,1,0,0,2
765,33.18,0,0,38.4,1,0,0,1
766,39.45,0,68.46,179,1,0,4,6
767,18.64,0,0,0,1,0,0,0
768,40.01,0,0,0,1,0,0,0
769,40.19,55.45,199.65,100.32,3,2,5,4
770,88.9,48.7,173.72,149.3,1,1,3,3
771,17.43,0,0,0,1,0,0,0
772,41.98,0,0,0,2,0,0,0
773,13,69.7,19.1,11.74,1,2,1,1
774,218.9,107.5,0,30.53,1,1,0,1
775,15.6,0,0,0,1,0,0,0
776,16.99,0,0,0,1,0,0,0
777,38.82,0,8.9,24.62,2,0,1,2
778,11,0,0,0,1,0,0,0
779,58.46,0,35.9,9.49,3,0,1,1
780,95.45,16.9,167,29.24,3,1,3,1
781,25.16,0,0,0,1,0,0,0
782,32.92,631.2,137.27,59.21,1,2,2,1
783,63.65,46.95,251.31,270.74,2,1,6,6
784,42.4,0,0,0,1,0,0,0
785,168.38,63.55,45.49,40,4,3,1,1
786,43.08,82.86,0,69.08,2,1,0,2
787,138.43,121.95,141.52,64.8,2,1,1,1
788,80.92,0,0,96.64,1,0,0,2
789,110.39,0,102.4,0,1,0,3,0
790,103.13,0,0,0,1,0,0,0
791,205.89,0,54,180.55,3,0,1,3
792,61.47,189.08,195.24,34.8,2,4,5,1
793,26.3,0,0,0,1,0,0,0
794,82.57,0,0,0,1,0,0,0
795,52.37,10.7,6.7,0,1,1,1,0
796,206.5,613.47,133.2,163.96,2,5,1,3
797,48,0,0,60.5,1,0,0,1
798,2.96,0,0,0,1,0,0,0
799,45.92,0,0,0,1,0,0,0
800,44.39,18.9,0,0,1,1,0,0
801,43.28,0,44.11,0,2,0,2,0
802,26.5,0,0,0,1,0,0,0
803,84.1,430.46,39.54,187.37,2,5,2,5
804,131.47,0,146.98,63.51,2,0,4,1
805,47.08,139.65,57.28,114.64,3,2,3,4
806,25.1,0,0,0,1,0,0,0
807,36.22,0,0,0,2,0,0,0
808,19.34,0,36.14,48.46,1,0,1,1
809,103.12,58.93,0,0,2,3,0,0
810,77.3,0,0,0,2,0,0,0
811,37.95,87.84,74.08,17.99,3,3,3,2
812,41.4,98.89,0,0,2,3,0,0
813,6.74,0,0,0,1,0,0,0
814,13.41,226.24,0,93.3,1,3,0,2
815,10.4,0,0,0,1,0,0,0
816,119.31,52.18,0,99.42,2,2,0,3
817,68.85,0,0,0,1,0,0,0
818,30.42,67.38,0,0,1,1,0,0
819,26.7,270.25,160.19,276.47,1,3,4,6
820,20.8,0,11.97,0,1,0,1,0
821,23.68,0,0,0,1,0,0,0
822,19.68,0,0,0,1,0,0,0
823,113.84,0,0,0,1,0,0,0
824,102.64,0,29.8,0,1,0,1,0
825,119.72,0,0,0,1,0,0,0
826,46.25,3.9,0,0,1,1,0,0
827,166.85,0,83.43,0,3,0,2,0
828,5.9,0,0,0,1,0,0,0
829,11.1,0,0,0,1,0,0,0
830,23,0,0,0,1,0,0,0
831,115.52,0,0,0,5,0,0,0
832,154.68,0,0,0,1,0,0,0
833,137.9,154.12,16.86,53.9,2,1,1,1
834,436.93,449.3,473.94,52.65,3,5,7,1
835,51.4,92.25,202.69,107.51,2,6,9,4
836,103.06,315.86,0,186.71,1,2,0,1
837,230.04,0,0,0,2,0,0,0
838,29.41,0,53.78,0,1,0,1,0
839,558.44,28.2,132.81,0,4,1,1,0
840,61.13,0,0,0,1,0,0,0
841,930.35,0,0,0,2,0,0,0
842,34.5,203.95,74.54,316.47,1,2,1,3
843,97.04,0,167.8,122.16,2,0,4,2
844,45.65,0,0,37.6,2,0,0,1
845,54.98,57.13,398.9,13.58,5,1,4,2
846,36.9,93.6,45.6,85.3,1,2,2,2
847,329.99,166.42,194.22,264.32,3,4,3,5
848,23.61,0,0,0,1,0,0,0
849,92.7,276.72,180.72,24.9,1,2,1,1
850,18.75,0,0,0,1,0,0,0
851,59.12,0,23.79,34.75,2,0,1,1
852,53.6,0,0,0,1,0,0,0
853,82.75,78.02,260.81,64.48,2,3,7,1
854,31.9,20.3,0,0,1,1,0,0
855,53.3,0,0,0,1,0,0,0
856,27.02,0,0,0,1,0,0,0
857,74.74,237.5,48.16,44.19,2,1,2,2
858,77.2,0,49.69,0,1,0,1,0
859,131.39,27.37,0,0,3,1,0,0
860,18,138.35,0,0,1,1,0,0
861,153.35,0,0,0,2,0,0,0
862,26.22,100.27,64.46,0,1,2,2,0
863,36.6,60.5,0,0,1,1,0,0
864,26.6,0,0,0,1,0,0,0
865,72.36,122.17,0,0,1,2,0,0
866,94.02,440.55,110.65,162.62,1,3,2,4
867,102.7,0,0,44.47,2,0,0,1
868,275.32,0,0,0,2,0,0,0
869,29.6,0,0,0,1,0,0,0
870,13.6,0,0,10.8,1,0,0,1
871,64.1,77.11,463.75,250.89,1,3,6,5
872,27.83,0,0,0,1,0,0,0
873,49.9,0,12.09,0,1,0,1,0
874,11.19,0,144.81,90.04,1,0,2,2
875,76.2,0,0,191.95,1,0,0,1
876,95.48,0,0,0,1,0,0,0
877,16.89,0,179.48,124.06,1,0,3,2
878,102.73,0,35.54,28.33,3,0,2,1
879,82.11,40.47,0,132.65,2,1,0,2
880,50.3,7,0,0,1,1,0,0
881,99.63,12.62,5.5,29.87,3,1,1,1
882,20.94,0,0,0,1,0,0,0
883,148.53,0,0,11.4,2,0,0,1
884,58.41,0,0,0,1,0,0,0
885,38.28,0,25.38,0,1,0,1,0
886,7.98,7.49,11.9,28.06,1,1,1,3
887,58.8,153.14,115.18,0,1,1,1,0
888,31.2,0,0,0,1,0,0,0
889,76,349.2,77.55,0,1,1,1,0
890,21.2,0,0,0,1,0,0,0
891,15.63,0,52.51,0,1,0,2,0
892,148.67,0,0,0,1,0,0,0
893,38.96,24.64,14.8,0,1,1,1,0
894,28.04,32.3,0,42.97,1,1,0,1
895,5.06,0,0,0,1,0,0,0
896,227.66,0,0,0,3,0,0,0
897,118.84,0,76.38,0,2,0,1,0
898,28.46,0,52.39,0,1,0,2,0
899,23.3,0,0,45.6,1,0,0,1
900,188.78,39.8,36.01,0,1,1,1,0
901,24.57,0,19.68,0,1,0,1,0
902,12.83,13.52,27.95,0,2,1,1,0
903,56.9,29.55,0,0,1,1,0,0
904,25.64,0,0,0,1,0,0,0
905,396.81,0,0,0,3,0,0,0
906,17.8,0,120.59,0,1,0,2,0
907,11.8,28.42,0,58.91,1,3,0,2
908,50,0,0,0,2,0,0,0
909,96,67.7,0,0,1,1,0,0
910,41.1,0,148.8,32.43,1,0,3,1
911,140.5,352.99,0,106.45,2,4,0,2
912,20.5,0,0,0,1,0,0,0
913,197.02,292.83,68.1,154.02,4,4,1,3
914,105.61,0,86.21,0,3,0,3,0
915,130.1,0,38.28,33.9,2,0,1,1
916,23.26,102.09,77.55,310.98,1,3,2,4
917,70.66,19.6,44.3,0,1,1,1,0
918,19.46,0,0,0,1,0,0,0
919,74.6,0,0,0,2,0,0,0
920,34.9,0,0,0,1,0,0,0
921,54.8,0,47.9,0,1,0,1,0
922,120.62,0,0,86,1,0,0,1
923,70.4,0,0,68.45,1,0,0,1
924,86.1,164.9,100.6,0,1,1,1,0
925,162.73,1070.57,128.76,140.99,3,7,3,3
926,83.48,0,0,0,1,0,0,0
927,88.8,0,0,0,1,0,0,0
928,188,192.8,0,0,1,1,0,0
929,79.84,0,0,0,1,0,0,0
930,22.39,0,0,0,1,0,0,0
931,30.42,98,0,0,1,1,0,0
932,49.69,0,0.48,0,1,0,1,0
933,39.82,73.04,74.88,0,1,3,1,0
934,74.48,0,109.18,0,2,0,2,0
935,180,0,0,0,1,0,0,0
936,140.03,96.31,170.55,112.27,3,2,4,3
937,25.1,0,0,0,2,0,0,0
938,28.08,0,0,0,1,0,0,0
939,20.31,0,0,0,1,0,0,0
940,51.26,0,0,0,1,0,0,0
941,88.3,78.44,0,0,1,2,0,0
942,118.26,0,0,0,1,0,0,0
943,28.62,0,0,0,1,0,0,0
944,95.2,0,0,0,1,0,0,0
945,34.37,0,0,0,1,0,0,0
946,36.77,0,0,0,1,0,0,0
947,105.45,0,0,71.84,1,0,0,1
948,68.94,0,0,0,1,0,0,0
949,30.5,0,0,0,1,0,0,0
950,93.06,268,70.86,7.81,3,5,2,1
951,81.46,0,0,0,2,0,0,0
952,70.31,39.9,0,327.92,1,1,0,2
953,51.2,58.9,27.9,0,1,1,1,0
954,64.15,0,74.62,53.58,1,0,2,1
955,43.34,0,0,0,1,0,0,0
956,3.03,263.2,8.39,146.35,1,2,1,5
957,69.44,0,0,0,2,0,0,0
958,122.76,0,0,0,1,0,0,0
959,128.26,41.01,7.8,0,1,1,1,0
960,23.2,0,0,0,1,0,0,0
961,8.7,0,0,0,1,0,0,0
962,198.18,411.37,127.9,0,3,4,2,0
963,75.7,183.93,85.7,521.9,2,6,4,12
964,14.9,0,71.26,0,1,0,1,0
965,182.14,0,0,0,2,0,0,0
966,80.4,0,0,0,1,0,0,0
967,38.9,0,0,0,1,0,0,0
968,87.11,69.59,137.97,352.27,2,3,4,6
969,15.25,303.33,73.04,208.5,1,4,1,1
970,158.24,0,0,0,1,0,0,0
971,132.26,0,28.6,92.32,1,0,1,2
972,90.02,0,0,0,1,0,0,0
973,28,0,81.56,109,1,0,1,2
974,33.61,0,0,0,1,0,0,0
975,61.9,178.6,0,43.5,1,1,0,1
976,95.37,17.85,187.88,77.74,2,1,3,1
977,13.08,26.7,0,91.25,2,2,0,2
978,26.79,36.76,19.6,84.33,1,2,1,3
979,24.48,0,0,47.66,1,0,0,1
980,61.34,0,185.99,0,1,0,2,0
981,26.15,0,0,0,1,0,0,0
982,41.99,0,109.4,0,2,0,3,0
983,72.6,170.03,0,41.44,1,2,0,1
984,24.24,0,0,0,1,0,0,0
985,308.3,0,0,0,1,0,0,0
986,1856.81,0,754.43,0,3,0,5,0
987,74.83,0,0,0,1,0,0,0
988,40.19,0,25.74,76.85,3,0,1,2
989,45.55,0,0,44.13,1,0,0,1
990,53.74,0,0,0,2,0,0,0
991,79.78,131.65,0,0,3,1,0,0
992,14.9,0,0,0,1,0,0,0
993,53.04,59,0,0,1,1,0,0
994,32.06,8.47,0,0,1,1,0,0
995,72.16,0,0,0,2,0,0,0
996,23.61,7.95,7.9,25.74,1,1,1,1
997,33.06,92.13,0,0,2,1,0,0
998,109.51,0,0,0,2,0,0,0
999,95.9,226.07,92.98,121.4,4,4,3,3
1000,111.44,0,0,0,1,0,0,0
1001,26.5,16.5,0,16.4,1,1,0,2
1002,124.5,0,0,43.03,2,0,0,2
1003,59.9,162.38,0,67.26,1,3,0,2
1004,13,0,16.4,40.4,1,0,1,1
1005,92.24,0,0,0,1,0,0,0
1006,20.3,0,0,0,1,0,0,0
1007,162.1,130.15,0,0,5,3,0,0
1008,8.9,29.3,145.14,55.18,1,1,5,1
1009,19.9,0,22.2,0,1,0,1,0
1010,18.8,220.63,0,0,1,3,0,0
1011,36.58,25.5,50.61,134.85,1,2,2,4
1012,29.97,0,0,19.49,1,0,0,1
1013,151.47,0,33.2,0,2,0,1,0
1014,54.9,0,0,0,1,0,0,0
1015,88.2,0,0,32.8,1,0,0,1
1016,135.8,0,70.74,0,3,0,1,0
1017,31.13,0,0,0,1,0,0,0
1018,33.16,43.4,98,173.25,1,1,1,5
1019,70.71,0,0,70.9,4,0,0,2
1020,36.5,51.33,0,0,1,1,0,0
1021,74.32,0,0,0,1,0,0,0
1022,46.3,0,0,0,1,0,0,0
1023,20.2,0,0,0,1,0,0,0
1024,155.35,14.05,18.31,126.91,2,1,1,3
1025,31.79,0,0,0,1,0,0,0
1026,235.6,239.3,0,92.77,1,1,0,1
1027,14.9,0,0,0,1,0,0,0
1028,44.9,0,37.5,29.89,1,0,1,1
1029,92.7,0,0,0,1,0,0,0
1030,27.2,74.16,0,68.82,1,2,0,2
1031,1,48.9,32.1,40.71,1,2,3,4
1032,58.8,0,0,0,1,0,0,0
1033,95.3,0,0,0,1,0,0,0
1034,31.31,0,0,0,1,0,0,0
1035,20.94,204.3,0,0,1,1,0,0
1036,97.04,161.57,0,59.04,2,2,0,2
1037,57.4,0,62.9,69,1,0,1,1
1038,10.94,0,0,0,1,0,0,0
1039,153.2,0,0,0,1,0,0,0
1040,91.3,0,0,0,1,0,0,0
1041,21.94,29.18,139.71,54.9,1,1,2,1
1042,172.8,80.2,48.8,0,1,1,1,0
1043,195.18,23.58,0,34.73,2,1,0,2
1044,291.59,0,0,0,1,0,0,0
1045,21.46,0,0,10.2,1,0,0,1
1046,34.3,77.56,19.9,57.04,1,2,1,1
1047,27.4,43.99,0,0,1,1,0,0
1048,98.4,0,0,0,1,0,0,0
1049,43.6,182.13,0,93.07,1,2,0,1
1050,63.4,0,0,0,1,0,0,0
1051,128.99,16.34,0,0,1,1,0,0
1052,22.06,0,0,0,1,0,0,0
1053,152.49,14,0,146.65,1,1,0,2
1054,30.9,0,40.6,153.26,1,0,2,3
1055,139,138.3,0,0,2,1,0,0
1056,29.7,58.77,20.66,0,1,2,2,0
1057,21.96,0,0,0,1,0,0,0
1058,79.46,0,48,141.07,2,0,1,3
1059,40.63,0,26.98,261.25,2,0,2,2
1060,58.8,0,0,0,1,0,0,0
1061,38.71,72.28,240.45,0,1,1,3,0
1062,79.01,0,0,0,1,0,0,0
1063,39.82,0,0,0,2,0,0,0
1064,584.3,435.65,152.92,59.98,2,4,3,1
1065,10.8,72.79,19.5,0,1,1,1,0
1066,59.73,0,0,0,1,0,0,0
1067,89.96,0,0,0,1,0,0,0
1068,181.84,37.75,0,16.26,2,1,0,1
1069,49.32,0,0,67.77,1,0,0,1
1070,110.06,0,0,0,1,0,0,0
1071,9.8,0,0,7.1,1,0,0,1
1072,24.8,0,27.83,39.08,1,0,1,2
1073,45.98,59.97,0,0,1,1,0,0
1074,59.78,46.11,30.51,0,1,1,2,0
1075,98.72,0,0,0,1,0,0,0
1076,121.69,0,0,0,1,0,0,0
1077,109.66,0,0,21.84,1,0,0,1
1078,26.01,0,0,55.78,1,0,0,2
1079,65.4,6.5,0,0,1,1,0,0
1080,19.5,0,0,0,1,0,0,0
1081,8.39,85.21,84.5,0,1,3,2,0
1082,32.7,568.92,0,0,1,2,0,0
1083,9.12,251.77,402.11,85.94,1,2,5,2
1084,15.82,0,0,0,1,0,0,0
1085,4.11,0,0,0,1,0,0,0
1086,18.04,0,0,0,1,0,0,0
1087,7.8,30.43,0,0,1,1,0,0
1088,6.7,0,11.33,0,1,0,1,0
1089,58.8,0,0,0,1,0,0,0
1090,25.01,0,0,0,1,0,0,0
1091,110.1,0,0,0,1,0,0,0
1092,56.94,0,0,0,2,0,0,0
1093,621.99,0,0,0,1,0,0,0
1094,14.3,0,6.24,0,1,0,1,0
1095,8.1,0,0,0,1,0,0,0
1096,58.73,138.01,51.3,92.34,1,2,2,3
1097,55.73,130.23,249.21,115.76,1,2,1,1
1098,218.63,0,11.9,0,1,0,1,0
1099,73.7,0,0,77.67,1,0,0,1
1100,61.34,0,87.73,0,2,0,4,0
1101,157.9,0,0,0,1,0,0,0
1102,134.14,0,0,0,2,0,0,0
1103,24.6,0,0,21.87,1,0,0,1
1104,86.43,69.65,193.91,52.37,1,2,2,1
1105,38.3,313.04,143.5,0,1,2,3,0
1106,101.02,0,18,1.4,1,0,1,1
1107,16.92,194.44,0,21.7,3,3,0,1
1108,5.9,0,0,0,1,0,0,0
1109,24.9,0,0,52.65,1,0,0,1
1110,26.02,0,0,0,1,0,0,0
1111,8.29,0,0,0,1,0,0,0
1112,105.4,0,0,0,1,0,0,0
1113,45.4,0,0,0,1,0,0,0
1114,104.89,0,0,0,2,0,0,0
1115,21.2,0,0,0,1,0,0,0
1116,93.01,0,0,0,1,0,0,0
1117,26.11,0,0,35.65,1,0,0,1
1118,282.8,0,0,0,1,0,0,0
1119,57.92,473.72,189.78,470.34,1,4,8,10
1120,80.58,98,0,0,1,1,0,0
1121,64.36,0,0,0,1,0,0,0
1122,95.57,30.85,0,74.33,2,1,0,1
1123,63.8,0,82.56,69.36,1,0,2,2
1124,137.4,0,0,0,1,0,0,0
1125,11.04,0,0,0,1,0,0,0
1126,84.66,90.11,0,0,1,1,0,0
1127,71.05,149.47,0,0,1,1,0,0
1128,23.74,0,16.84,0,1,0,1,0
1129,56.25,0,8.9,106.2,1,0,1,2
1130,90.78,1.89,81.9,117.75,2,1,2,5
1131,20.91,119,0,0,1,1,0,0
1132,50.1,0,0,0,1,0,0,0
1133,295.53,392.91,203.03,242.78,3,5,6,7
1134,23.6,0,0,0,1,0,0,0
1135,103.63,61.63,0,0,1,1,0,0
1136,23.21,190.51,0,12.9,1,4,0,1
1137,56.6,87,0,0,1,1,0,0
1138,19.19,0,8.3,0,1,0,1,0
1139,86.22,49.72,113.01,14.4,1,1,3,1
1140,133.23,99.82,47.39,0,1,1,1,0
1141,18.7,0,0,0,1,0,0,0
1142,17.68,0,0,0,1,0,0,0
1143,14.1,0,0,0,1,0,0,0
1144,14.7,0,0,38.4,1,0,0,1
1145,38.54,0,0,0,1,0,0,0
1146,22.28,0,0,28.26,1,0,0,1
1147,52.4,0,0,0,1,0,0,0
1148,16.43,0,0,0,1,0,0,0
1149,16.19,0,0,0,1,0,0,0
1150,187.88,0,0,0,2,0,0,0
1151,32.74,0,0,0,1,0,0,0
1152,77.07,0,0,0,1,0,0,0
1153,105,41.1,92.59,103.53,1,1,5,2
1154,29.97,0,0,0,1,0,0,0
1155,63.25,0,0,67.87,2,0,0,1
1156,46.5,0,0,0,1,0,0,0
1157,56,0,0,0,1,0,0,0
1158,2,0,34.38,7.5,1,0,4,1
1159,33.9,0,0,0,1,0,0,0
1160,28.01,0,0,0,1,0,0,0
1161,200.73,0,77.37,0,1,0,1,0
1162,29.5,0,0,0,1,0,0,0
1163,95,64.02,0,0,1,1,0,0
1164,56.84,83.8,36.6,108.33,1,1,2,4
1165,18.72,0,0,0,1,0,0,0
1166,38.88,0,0,0,1,0,0,0
1167,32.9,0,0,117.2,1,0,0,2
1168,17.1,14.34,0,0,1,1,0,0
1169,124,0,0,0,1,0,0,0
1170,90.2,192.38,160.32,139.92,1,3,2,2
1171,17.9,50.39,19.67,0,1,2,1,0
1172,3.9,0,0,26.68,1,0,0,2
1173,34.15,0,42.89,59.55,1,0,2,1
1174,14.6,0,6.9,88.3,1,0,1,2
1175,16.8,0,0,0,1,0,0,0
1176,7.18,60.5,0,75.45,1,2,0,1
1177,25.03,13114.75,457.28,0,1,2,6,0
1178,21.3,24.3,13.5,0,1,2,1,0
1179,10.5,0,0,0,1,0,0,0
1180,35.5,0,0,0,1,0,0,0
1181,12.79,0,24.22,0,1,0,1,0
1182,6.7,0,0,0,1,0,0,0
1183,8.3,0,0,0,1,0,0,0
1184,82.58,0,0,0,1,0,0,0
1185,66.2,50.8,176.8,76.8,1,2,5,2
1186,29.53,0,0,0,1,0,0,0
1187,284.89,32.9,165.2,340.23,2,1,1,2
1188,45.9,53.79,79.32,0,1,1,2,0
1189,10.9,0,0,0,1,0,0,0
1190,24.34,0,101,0,1,0,4,0
1191,12.6,0,0,0,1,0,0,0
1192,79.9,75.65,0,0,1,2,0,0
1193,21.46,0,0,0,1,0,0,0
1194,45.2,0,0,0,1,0,0,0
1195,5.6,0,0,0,1,0,0,0
1196,27.4,246,124.18,55.33,1,1,4,3
1197,12.31,10.43,0,0,1,1,0,0
1198,39.12,0,8.82,121.02,1,0,1,1
1199,41.47,0,0,148.25,1,0,0,1
1200,48.96,104.15,27.5,0,1,2,1,0
1201,34.94,35.3,49.93,0,1,1,2,0
1202,170.51,75.05,0,0,1,1,0,0
1203,218.6,0,0,0,1,0,0,0
1204,39.87,197.76,107.6,106.99,1,1,1,1
1205,42.93,181.6,4.7,0,1,3,1,0
1206,66.6,0,0,0,1,0,0,0
1207,31.14,0,0,0,1,0,0,0
1208,3.9,0,0,0,1,0,0,0
1209,18.74,21.44,45.18,0,1,1,1,0
1210,201.78,0,0,0,1,0,0,0
1211,12.7,0,135.99,203.59,1,0,4,3
1212,71.25,83.04,112.4,120.02,1,1,5,5
1213,80.1,0,0,0,1,0,0,0
1214,148.8,0,0,0,1,0,0,0
1215,211.54,720.62,35.16,0,1,6,1,0
1216,19.4,301.64,23.17,0,1,3,1,0
1217,29.6,0,0,0,1,0,0,0
1218,7.63,0,0,0,1,0,0,0
1219,83.9,0,0,0,1,0,0,0
1220,84.5,0,0,0,1,0,0,0
1221,9.2,19.3,0,0,1,1,0,0
1222,17.4,0,0,0,1,0,0,0
1223,22.9,0,0,14.08,1,0,0,1
1224,22.4,0,18.7,0,1,0,1,0
1225,0,24.14,0,0,0,1,0,0
1226,0,55.28,83.66,229.28,0,1,3,6
1227,0,211.32,28.76,0,0,1,1,0
1228,0,88.84,28.2,144.79,0,2,1,4
1229,0,99,0,0,0,1,0,0
1230,0,290.13,94.82,93.44,0,3,3,2
1231,0,116.62,0,0,0,2,0,0
1232,0,121.54,0,104.15,0,1,0,1
1233,0,474.56,0,54.2,0,3,0,1
1234,0,67.39,11.85,0,0,2,1,0
1235,0,161.24,76.48,112.3,0,3,2,2
